GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Thioprofundum	hispidum		61:2412*	sp. nov. (VP)	Mori et al. 2011		1	"gps61, DSM 18546, NBRC 101261"	789518	
Thioprofundum	lithotrophica		60:1477	orthographically incorrect name	Takai et al. 2010	[DSMZ] the specific epithet has been corrected on validation	1	"106, DSM 19353, JCM 14586"	788565	786337
Thioprofundum	lithotrophicum		60:1477	sp. nov. (VL)	Takai et al. 2010		1	"106, JCM 14586, DSM 19353"	786337	
Thioprofundum			60:1477	gen. nov. (VL)	Takai et al. 2010				517598	
Thiopseudomonas	denitrificans		65:225*	sp. nov. (VP)	Tan et al. 2015			"X2, CCTCC M 2013362, DSM 28679, KCTC 42076"	792419	
Thiopseudomonas			65:225*	gen. nov. (VP)	Tan et al. 2015				518651	
Thioreductor	micantisoli		55:599*	sp. nov. (VP)	Nakagawa et al. 2005		1	"BKB25Ts-Y, DSM 16661, JCM 12457"	782766	
Thioreductor			55:599*	gen. nov. (VP)	Nakagawa et al. 2005				516832	
Thiorhodococcus	alkaliphilus		67:2323*	sp. nov. (VP)	Prathyash Ushus et al. 2017			"JA878, KCTC 15531, JCM 31245"	795562	
Thiorhodococcus	bheemlicus		57:2458*	sp. nov. (VP)	Anil Kumar et al. 2007		1	"JA132, MTCC 8120, ATCC BAA-1362, JCM 14149, DSM 18805, MTCC 8120., StrainInfo.net) JA132"	786909	795421
Thiorhodococcus	fuscus		65:3938*	sp. nov. (VP)	Lakshmi et al. 2015			"JA363, KCTC 5701, NBRC 104959, DSM 21807"	793468	
Thiorhodococcus	kakinadensis		57:2458*	sp. nov. (VP)	Anil Kumar et al. 2007		1	"JA130, ATCC BAA-1353, DSM 18858, JCM 14150"	786910	
Thiorhodococcus	mannitoliphagus		56:1945*	sp. nov. (VP)	Rabold et al. 2006		1	"WS, ATCC BAA-1228, VKM B-2393, DSM 18266"	785328	
Thiorhodococcus	minor		48:327	sp. nov. (VL)	Guyoneaud et al. 1998	[DSMZ] nom. corrig.: IJSB 48:1131*; <I>Thiorhodococcus minus</I> (sic)	1	"ATCC 700259, CE2203, DSM 11518"	782770	
Thiorhodococcus	minus		48:327	orthographically incorrect name	Guyoneaud et al. 1998	[DSMZ] nom. corrig.: IJSB 48:1131	1	"ATCC 700259, CE2203, DSM 11518"	785093	782770
Thiorhodococcus	modestalkaliphilus		60:1985	sp. nov. (VL)	Sucharita et al. 2010		1	"JA395, KCTC 5710, NBRC 104958"	788676	
Thiorhodococcus			48:327	gen. nov. (VL)	Guyoneaud et al. 1998				516834	
Thiorhodospira	sibirica		49:697*	sp. nov. (VP)	Bryantseva et al. 1999		1	"A12, ATCC 700588, Gorlenko: A12"	785094	
Thiorhodospira			49:697*	gen. nov. (VP)	Bryantseva et al. 1999				517372	
Thiorhodovibrio	winogradskyi		43:188	sp. nov. (VL)	Overmann et al. 1993		1	"DSM 6702, SSP1"	782771	
Thiorhodovibrio			43:188	gen. nov. (VL)	Overmann et al. 1993				516835	
Thiosocius	teredinicola		69:638*	sp. nov. (VP)	Altamia et al. 2019			"DSM 108030, PMS-2141T. STBD.0c.01a, 2141T.STBD.0c.01a"	800141	
Thiosocius			69:638*	gen. nov. (VP)	Altamia et al. 2019				521620	
Thiosphaera	pantotropha		34:91	sp. nov. (VL)	Robertson and Kuenen 1984	[DSMZ] regarded as a synonym of Paracoccus denitrificans<I></I>: IJSB 43:366*; later on corrected: IJSEM 49:649*	1	"DSM 2944, GB 17, LMD 82.5, ATCC 35512, JCM 21485, NBRC 102493, NCCB 82005"	782773	779162
Thiosphaera			34:91	"gen. nov. (VL), heterotypic syn."	Robertson and Kuenen 1984				516836	516256
Thiospira	winogradskyi		30:225	comb. nov. (AL)	(Omelianski 1905) Visloukh 1914		1	no culture available	785095	
Thiospira			30:225	genus (AL)	Visloukh 1914				517373	
Thiospirillum	jenense		30:225	comb. nov. (AL)	(Ehrenberg 1838) Migula 1900		1	"DSM 216, 1112, Ostrau, SMG 216"	785096	
Thiospirillum			30:225	genus (AL)	Winogradsky 1888				517374	
Thiothrix	caldifontis		59:3128*	sp. nov. (VP)	Chernousova et al. 2009		1	"G1, DSM 21228, VKM B-2520"	788249	
Thiothrix	defluvii		49:1817*	sp. nov. (VP)	Howarth et al. 1999		1	"Ben57, ben57"	785097	
Thiothrix	disciformis		52:1309*	sp. nov. (VP)	Aruga et al. 2002		1	"B3-1, DSM 14473, JCM 11364"	782774	798539
Thiothrix	eikelboomii		49:1817*	sp. nov. (VP)	Howarth et al. 1999 emend. Aruga et al. 2002		1	"AP3, ATCC 49788, strain AP3"	785098	
Thiothrix	flexilis		52:1309*	sp. nov. (VP)	Aruga et al. 2002		1	"DSM 14609, EJ2M, JCM 11135, EJ2M-B"	782775	798540
Thiothrix	fructosivorans		49:1817*	sp. nov. (VP)	Howarth et al. 1999		1	"ATCC 49748, Q"	785099	
Thiothrix	lacustris		59:3128*	sp. nov. (VP)	Chernousova et al. 2009		1	"BL, DSM 21227, VKM B-2521"	788250	
Thiothrix	nivea		33:841*	comb. nov. (VP)	(Rabenhorst 1865) Winogradsky 1888 emend. Larkin and Shinabarger 1983		1	"ATCC 31500, DSM 5205, JP2, ATCC 35100, no culture isolated"	782776	
Thiothrix	unzii		49:1817*	sp. nov. (VP)	Howarth et al. 1999		1	"A1, ATCC 49747"	785100	
Thiothrix			30:225	genus (AL)	Winogradsky 1888 emend. Howarth et al. 1999 emend. Aruga et al. 2002 emend. Boden and Scott 2018	[DSMZ] emended description: IJSB 49:1824*; IJSEM 52:1315*			516837	
Thiovirga	sulfuroxydans		55:1059*	sp. nov. (VP)	Ito et al. 2005		1	"ATCC BAA-1033, JCM 12417, SO07"	785101	
Thiovirga			55:1059*	gen. nov. (VP)	Ito et al. 2005				517375	
Thiovulum	majus		30:225	species (AL)	Hinze 1913		1	no culture isolated	785102	
Thiovulum			30:225	genus (AL)	Hinze 1913				517376	
Thorsellia	anophelis		56:335*	sp. nov. (VP)	Kämpfer et al. 2006 emend. Kämpfer et al. 2015	[DSMZ] emended description: IJSEM 65:448*	1	"CCUG 49520, CIP 108754, DSM 18579"	785103	
Thorsellia	kandunguensis		65:444*	sp. nov. (VP)	Kämpfer et al. 2015			"W5.1.1, LMG 28213, CIP 110794, DSM 28569"	792574	
Thorsellia	kenyensis		65:444*	sp. nov. (VP)	Kämpfer et al. 2015			"T2.1, CCM 8545, LMG 28483, CIP 110829, DSM 29347"	792573	
Thorsellia			56:335*	gen. nov. (VP)	Kämpfer et al. 2006				517377	
Tianweitania	sediminis		66:719*	sp. nov. (VP)	Han et al. 2016			"Z8, CGMCC 1.12944, JCM 30358"	793868	
Tianweitania			66:719*	gen. nov. (VP)	Han et al. 2016				518899	
Tibeticola	sediminis		67:1133*	sp. nov. (VP)	Khan et al. 2017			"YIM 73013, DSM 101684, KCTC 42873"	795319	
Tibeticola			67:1133*	gen. nov. (VP)	Khan et al. 2017				519181	
Timonella	senegalensis		66:2463	sp. nov. (VL)	Mishra et al. 2016			"JC301, DSM 25696, CSUR P167"	790897	
Timonella			66:2463	gen. nov. (VL)	Mishra et al. 2016	[DSMZ] suborder <i>Micrococcineae</i> // [IJSEM] The etymology must read N.L. fem. n. instead of N.L. fem. N.			518383	
Tindallia	californiensis		53:1701	sp. nov. (VL)	Pikuta et al. 2003		1	"APO, ATCC BAA-393, CIP 107910, DSM 14871"	782791	
Tindallia	magadiensis		49:1	sp. nov. (VL)	Kevbrin et al. 1999	[DSMZ] nom. corrig.: <I>Tindallia magadii</I> (sic)	1	"DSM 10318, Z-7934"	782792	
Tindallia	magadii		49:1	orthographically incorrect name	Kevbrin et al. 1999		1	"DSM 10318, Z-7934"	798386	782792
Tindallia	texcoconensis		59:1555	sp. nov. (VL)	Alazard et al. 2009		1	"IMP-300, DSM 18041, JCM 13990"	782794	
Tindallia			49:1	gen. nov. (VL)	Kevbrin et al. 1999				517150	
Tissierella	carlieri		64:3603	sp. nov. (VL)	Alauzet et al. 2014	"[IJSEM] The preferred syllabification is car.lie’ri // The effective publication states that the type strain was also deposited as AIP 268.01, but no documentation was supplied."		"LBN 295, AIP 268.01, DSM 23816, CCUG 60010"	791307	
Tissierella	creatinini		45:436*	sp. nov. (VP)	Farrow et al. 1995		1	"BN11, DSM 9508, CIP 104584"	782795	
Tissierella	creatinophila		48:983*	sp. nov. (VP)	Harms et al. 1998		1	"DSM 6911, KRE 4"	782796	
Tissierella	praeacuta		37:23	comb. nov. (VP)	(Tissier 1908) Collins and Shah 1986 emend. Alauzet et al. 2014	[DSMZ] earlier heterotypic synonym of <I>Clostridium hastiforme</I>. Emended description: IJSEM 65:8 (List of Changes in Taxonomic Opinion no. 21)	"2, ht"	"ATCC 25539, CCUG 27825, LMG 8203, NCIMB 703038, NCTC 11158, DSM 18095"	782797	
Tissierella			36:461*	gen. nov. (VP)	Collins and Shah 1986 emend. Farrow et al. 1995 emend. Bae et al. 2004 emend. Alauzet et al. 2014	"[DSMZ] Emendation: Farrow et al. 1995, IJSB 45:436-440; IJSEM 54:948* and IJSEM 65:8 (List of Changes in Taxonomic Opinion no. 21)"			516848	
Tistlia	consotensis		60:1437*	sp. nov. (VP)	Díaz-Cárdenas et al. 2010		1	"USBA 355, KCTC 22406, JCM 15529, DSM 21585"	788589	
Tistlia			60:1437*	gen. nov. (VP)	Díaz-Cárdenas et al. 2010				517985	
Tistrella	bauzanensis		61:2227*	sp. nov. (VP)	Zhang et al. 2011		1	"BZ78, DSM 22817, CGMCC 1.10188, LMG 26047"	789457	
Tistrella	mobilis		53:935	sp. nov. (VL)	Shi et al. 2003		1	"IAM 14872, TISTR 1108, JCM 21370, NBRC 102134"	785104	
Tistrella			53:935	gen. nov. (VL)	Shi et al. 2003				517378	
Titanospirillum			96:11584	gen. nov. (NVP)	Guerrero et al. 1999				521854	
Tolumonas	auensis		46:183*	sp. nov. (VP)	Fischer-Romero et al. 1996		1	"DSM 9187, TA 4, TA 4r"	782798	
Tolumonas	lignilytica		66:4299	sp. nov. (VL)	Billings et al. 2016			"BRL6-1, ATCC TSD-11, DSM 100457"	794702	
Tolumonas	lignolytica		66:4299	orthographically incorrect name	Billings et al. 2016			"BRL6-1, ATCC TSD-11, DSM 100457"	794703	794702
Tolumonas	osonensis		61:2659*	sp. nov. (VP)	Caldwell et al. 2011		1	"OCF 7, OCF7, ATCC BAA-1908, DSM 22975"	789563	
Tolumonas			46:183*	gen. nov. (VP)	Fischer-Romero et al. 1996 emend. Caldwell et al. 2011	[DSMZ] emended description: IJSEM 61:2662*			516849	
Tomitella	biformata		60:2803*	sp. nov. (VP)	Katayama et al. 2010 emend. Nouioui et al. 2018		1	"AHU1821, DSM 45403, NBRC 106253, AHU 1821"	788940	
Tomitella	cavernea		64:2319*	sp. nov. (VP)	Cheng et al. 2014			"YIM C00895, DSM 45788, JCM 18542"	791994	
Tomitella			60:2803*	gen. nov. (VP)	Katayama et al. 2010				518039	
Tonsilliphilus	suis		63:2545*	sp. nov. (VP)	Azuma et al. 2013		"2, t"	"W254, ATCC 35846, CCM 3774, DSM 21880, JCM 15727"	790916	
Tonsilliphilus			63:2545*	gen. nov. (VP)	Azuma et al. 2013	[IJSEM] The description of Tonsilliphilus gen. nov. erroneously states: Description of Tonsilliphilus suis gen. nov.			518390	
Toxothrix	trichogenes		30:225	comb. nov. (AL)	(Cholodny 1924) Beger 1953		1	no culture isolated	785105	
Toxothrix			30:225	genus (AL)	Molisch 1925				517379	
Trabulsiella	guamensis		42:327	sp. nov. (VL)	McWhorter et al. 1992		1	"ATCC 49490, CDC 0370-85, DSM 16940, CIP 103637, JCM 21227, NBRC 103172"	782814	
Trabulsiella	odontotermitis		57:696*	sp. nov. (VP)	Chou et al. 2007		1	"Eant 3-9, BCRC 17577, LMG 23580, DSM 22557"	786133	
Trabulsiella			42:327	gen. nov. (VL)	McWhorter et al. 1992				516853	
Tranquillimonas	alkanivorans		58:2118*	sp. nov. (VP)	Harwati et al. 2008		1	"A34, DSM 19547, JCM 14836"	786631	
Tranquillimonas			58:2118*	gen. nov. (VP)	Harwati et al. 2008				517650	
Tremblaya			68:3190	orthographically incorrect name	Thao et al. 2002				521781	
Tremblayella			68:3190	"gen. nov. (NVP), heterotypic syn."	Thao et al. 2002	[IJSEM] Comment on etymology by Oren (2017): Tremblaya cannot be used as the name exists in the zoological nomenclature (Principle 2).			521782	
Treponema	amylovorum		47:842*	sp. nov. (VP)	Wyss et al. 1997		2	"ATCC 700288, HA2P"	785106	
Treponema	azotonutricium		54:631	sp. nov. (VL)	Graber et al. 2004		1	"ATCC BAA-888, DSM 13862, ZAS-9"	782833	
Treponema	berlinense		55:1675*	sp. nov. (VP)	Nordhoff et al. 2005		1	"7CPL208, ATCC BAA-909, CIP 108244, JCM 12341"	785107	
Treponema	brennaborense		49:43*	sp. nov. (VP)	Schrank et al. 1999		"2, t"	"DD5/3, DSM 12168, CIP 105900"	782834	
Treponema	bryantii		30:676	sp. nov. (VL)	Stanton and Canale-Parola 1980		1	"ATCC 33254, DSM 1788, RUS-1"	782835	
Treponema	caldaria		8:88	orthographically incorrect name	(Pohlschröder et al. 1995) Abt et al. 2013		1	"H1, ATCC 51460, DSM 7334"	791059	791060
Treponema	caldarium		63:3131	comb. nov. (VL)	(Pohlschröder et al. 1995) Abt et al. 2013	"[DSMZ] The original spelling of the specific epithet, <i>caldaria</i> (sic), has been corrected on validation. Authorship of the <i>combinatio nova</i> reads: Abt, Göker and Klenk 2013"	1	"H1, ATCC 51460, DSM 7334"	791060	
Treponema	denticola		43:196*	sp. nov. (VP)	(ex Flügge 1886) Chan et al. 1993		"2, ht"	"ATCC 35405, DSM 14222, CIP 103919, JCM 8153"	782836	
Treponema	hyodysenteriae		30:225	species (AL)	Harris et al. 1972		"2, t"	"ATCC 27164, B-78, CCUG 46668, NCTC 13041"	785109	783548
Treponema	innocens		30:225	species (AL)	Kinyon and Harris 1979		"2, t"	"ATCC 29796, B256, CCUG 17081"	785110	783549
Treponema	isoptericolens		58:1079*	sp. nov. (VP)	Dröge et al. 2008		1	"SPIT5, DSM 18056, JCM 13955"	782837	
Treponema	lecithinolyticum		49:1329*	sp. nov. (VP)	Wyss et al. 1999		2	"ATCC 700332, OMZ 684, CIP 107075, periodontitis patient PFB4G, PFB4G"	785111	
Treponema	maltophilum		46:745*	sp. nov. (VP)	Wyss et al. 1996		2	"ATCC 51939, BR, DSM 27366, CIP 105146, periodontitis patient BR"	785112	
Treponema	medium		47:67*	sp. nov. (VP)	Umemoto et al. 1997		2	G7201	785113	
Treponema	minutum		30:225	species (AL)	Dobell 1912		1	CIPP 5162	785114	
Treponema	pallidum		30:225	comb. nov. (AL)	(Schaudinn and Hoffmann 1905) Schaudinn 1905		2	"no culture available, none designated"	785115	
Treponema	paraluiscuniculi		30:225	comb. nov. (AL)	(Jacobsthal 1920) Smibert 1974		"2, t"	no culture available	785117	
Treponema	parvum		51:955*	sp. nov. (VP)	Wyss et al. 2001		2	"ATCC 700770, OMZ 833, DSM 16260"	782838	
Treponema	pectinovorum		33:852*	sp. nov. (VP)	Smibert and Burmeister 1983		2	"ATCC 33768, VPI D-36DR-2, VPI D-36-DR-2"	785118	
Treponema	pedis		59:987*	sp. nov. (VP)	Evans et al. 2009		"2, t"	"T3552B, DSM 18691, NCTC 13403"	785550	
Treponema	pertenue		30:225	comb. nov. (AL)	(Castellani 1905) Castellani and Chalmers 1910		2	no culture available	785119	
Treponema	porcinum		55:1675*	sp. nov. (VP)	Nordhoff et al. 2005		1	"14V28, ATCC BAA-908, CIP 108245, JCM 12342"	785120	
Treponema	primitia		54:631	sp. nov. (VL)	Graber et al. 2004		1	"ATCC BAA-887, DSM 12427, ZAS-2"	782839	
Treponema	putidum		54:1117*	sp. nov. (VP)	Wyss et al. 2004		2	"ATCC 700334, CIP 108088, JZC3, OMZ 758"	785121	
Treponema	rectale		67:2470*	sp. nov. (VP)	Staton et al. 2017			"CHPA, DSM 103679, NCTC 13848"	795528	
Treponema	ruminis		67:1349*	sp. nov. (VP)	Newbrook et al. 2017			"Ru1, DSM 103462, NCTC 13847"	795303	
Treponema	saccharophilum		36:354	sp. nov. (VL)	Paster and Canale-Parola 1986		1	"DSM 2985, PB, ATCC 43261"	782840	
Treponema	socranskii	buccale	34:457*	subsp. nov. (VP)	Smibert et al. 1984		2	"ATCC 35534, VPI D2 B8, JCM 8155, VPI D2B8"	785123	
Treponema	socranskii	paredis	34:457*	subsp. nov. (VP)	Smibert et al. 1984		2	"ATCC 35535, VPI D46CPE1, JCM 8156"	785124	
Treponema	socranskii	socranskii	34:457*	"subsp. nov. (VP), homotypic syn."	Smibert et al. 1984		2	"ATCC 35536, VPI DR56BRIII6, JCM 8157"	785125	785122
Treponema	socranskii		34:457*	sp. nov. (VP)	Smibert et al. 1984		2	"ATCC 35536, JCM 8157, VPI DR56BRIII6"	785122	
Treponema	stenostrepta		63:3131	orthographically incorrect name	(Zuelzer 1912) Abt et al. 2013		1	"Z1, DSM 2028, ATCC 25083, JCM 16534"	791061	791062
Treponema	stenostreptum		63:3131	comb. nov. (VL)	(Zuelzer 1912) Abt et al. 2013		1	"ATCC 25083, DSM 2028, JCM 16534"	791062	
Treponema	succinifaciens		31:382	sp. nov. (VL)	Cwyk and Canale-Parola 1981		1	"6091, ATCC 33096, DSM 2489"	782842	
Treponema	zuelzerae		63:3131	comb. nov. (VL)	(Canale-Parola 1980) Abt et al. 2013	"[DSMZ] Authorship of the <i>combinatio nova</i> reads: Abt, Göker and Klenk 2013"	1	"ATCC 19044, DSM 1903"	791063	
Treponema			30:225	genus (AL)	Schaudinn 1905 emend. Abt et al. 2013	[DSMZ] emended description: IJSEM 50:1293* and IJSEM 64:9 (Notification)			516856	
Trichlorobacter	thiogenes		51:1	sp. nov. (VL)	De Wever et al. 2001		1	"ATCC BAA-34, K1, JCM 14045"	786042	786041
Trichlorobacter			51:1	"gen. nov. (VL), heterotypic syn."	De Wever et al. 2001				517539	517041
Trichococcus	alkaliphilus		68:99*	sp. nov. (VP)	Dai et al. 2018			"B5, DSM 104692, KCTC 33885"	797452	
Trichococcus	collinsii		52:1113*	sp. nov. (VP)	Liu et al. 2002 emend. Pikuta et al. 2006		1	"37AN3*, ATCC BAA-296, DSM 14526, strain 37AN3*"	782846	
Trichococcus	flocculiformis		34:355	sp. nov. (VL)	Scheff et al. 1984 emend. Liu et al. 2002		1	"DSM 2094, Echt, ATCC 51221, strain Echt"	782847	
Trichococcus	ilyis		66:3957*	sp. nov. (VP)	Strepis et al. 2016			"R210, JCM 31247, DSM 22150"	794661	
Trichococcus	paludicola		68:99*	sp. nov. (VP)	Dai et al. 2018			"B7-2, DSM 104691, KCTC 33886"	797451	
Trichococcus	palustris		52:1113*	comb. nov. (VP)	(Zhilina et al. 1997) Liu et al. 2002		1	"DSM 9172, Z-7189, CIP 105359"	782848	
Trichococcus	pasteurii		52:1113*	comb. nov. (VP)	(Schink 1985) Liu et al. 2002		1	"ATCC 35945, DSM 2381, KoTa2, CCUG 37395, CIP 104580"	782849	
Trichococcus	patagoniensis		56:2055*	sp. nov. (VP)	Pikuta et al. 2006		1	"PmagG1, ATCC BAA-756, JCM 12176, CIP 108035, DSM 18806"	785400	
Trichococcus	shcherbakoviae		69:529*	sp. nov. (VP)	Parshina et al. 2019			"Art1, DSM 107162, VKM B-3260"	799881	
Trichococcus			34:355	gen. nov. (VL)	Scheff et al. 1984 emend. Liu et al. 2002				516859	
Trinickia	caryophylli		68:3379	comb. nov. (VL)	(Burkholder 1942) Estrada-de Los Santos et al. 2018		"1, p2"	"ATCC 25418, CCUG 20834, CFBP 2429, CFBP 3818, CIP 105770, DSM 50341, HAMBI 2159, ICMP 512, JCM 10488, JCM 9310, LMG 2155, NCPPB 2151"	798472	
Trinickia	diaoshuihuensis		69:291*	sp. nov. (VP)	Fu et al. 2019			"CCTCC AA 2018003, DSM 106065, NEAU-SY24"	798083	
Trinickia	dinghuensis		69:1390*	sp. nov. (VP)	Gao et al. 2019			"DHOM06, GDMCC 1.1280, LMG 30259"	800767	
Trinickia	fusca		69:1390*	sp. nov. (VP)	Gao et al. 2019			"7MK8-2, GDMCC 1.1449, KCTC 62469"	800766	
Trinickia	soli		68:3379	comb. nov. (VL)	(Yoo et al. 2007) Estrada-de Los Santos et al. 2018		1	"DSM 18235, GP25-8, KACC 11589"	798475	
Trinickia	symbiotica		68:3379	comb. nov. (VL)	(Sheu et al. 2012) Estrada-de Los Santos et al. 2018		1	"BCRC 80258, JPY-345, KCTC 23309, LMG 26032, NKMU-JPY-345"	798670	
Trinickia			68:3379	gen. nov. (VL)	Estrada-de Los Santos et al. 2018				520446	
Tritonibacter	horizontis		68:736*	sp. nov. (VP)	Klotz et al. 2018			"DSM 101689, LMG 29740, O3.65"	796365	
Tritonibacter			68:736*	gen. nov. (VP)	Klotz et al. 2018				519322	
Tropheryma	whipplei		51:1471*	sp. nov. (VP)	La Scola et al. 2001 emend. Nouioui et al. 2018		2	"CNCM I-2202, Twist-Marseille, Twist"	785128	
Tropheryma			51:1471*	gen. nov. (VP)	La Scola et al. 2001				517381	
Tropicibacter	litoreus		64:1	sp. nov. (VL)	Lucena et al. 2014		1	"R37, CECT 7639, KCTC 23353, DSM 29947, R-37, R37; CECT 7639; KCTC 23353"	791436	798713
Tropicibacter	mediterraneus		64:1	sp. nov. (VL)	Lucena et al. 2014		1	"M17, CECT 7615, KCTC 23058, DSM 29946, M17; CECT 7615; KCTC 23058"	791437	798714
Tropicibacter	multivorans		62:844*	sp. nov. (VP)	Lucena et al. 2012		1	"MD5, CECT 7557, KCTC 23350, DSM 26470, strain MD5"	789798	798663
Tropicibacter	naphthalenivorans		59:392*	sp. nov. (VP)	Harwati et al. 2009		1	"C02, DSM 19561, JCM 14838, strain C02"	786636	
Tropicibacter	phtalicus		62:1443	orthographically incorrect name	Iwaki et al. 2012		1	"DSM 26923, JCM 17793, KCTC 23703, KU27E1"	798669	789905
Tropicibacter	phthalicicus		62:1443	sp. nov. (VL)	Iwaki et al. 2012		1	"KU27E1, JCM 17793, KCTC 23703, DSM 26923"	789905	
Tropicibacter			59:392*	gen. nov. (VP)	Harwati et al. 2009				517653	
Tropicihabitans	flavus		65:2017	sp. nov. (VL)	Hamada et al. 2015	"[DSMZ] In the abstract of the original publication, the collection number of the Indonesian Culture Collection was given incorrectly as IanCC A 516. The spelling error was corrected in an erratum. The correct spelling is InaCC A 516"		"PS-14-16, InaCC A 516, NBRC 110109"	793015	
Tropicihabitans			65:2017	gen. nov. (VL)	Hamada et al. 2015				518764	
Tropicimonas	aquimaris		62:688*	sp. nov. (VP)	Oh et al. 2012		1	"DPG-21, CCUG 60524, KCTC 23424"	789758	
Tropicimonas	arenosa		66:5514*	sp. nov. (VP)	Oh et al. 2016			"CAU 1062, KCTC 52178, NBRC 111995"	794975	
Tropicimonas	isoalkanivorans		59:388*	sp. nov. (VP)	Harwati et al. 2009		1	"B51, DSM 19548, JCM 14837"	786632	
Tropicimonas	sediminicola		62:2424*	sp. nov. (VP)	Shin et al. 2012		1	"M97, JCM 17731, KACC 15544, DSM 29339"	790190	
Tropicimonas			59:388*	gen. nov. (VP)	Harwati et al. 2009 emend. Oh et al. 2012	[DSMZ] emended description: IJSEM 62:691*			517651	
Truepera	radiovictrix		55:1743	sp. nov. (VL)	Albuquerque et al. 2005	"[DSMZ] complete authorship reads Albuquerque, da Costa and Rainey // [IJSEM] The culture collection accession number DSM 17093 is also cited in the effective publication, but the authors did not provide a certificate of deposition from this collection."	1	"CIP 108686, LMG 22925, RQ-24, DSM 17093"	782885	
Truepera			55:1743	gen. nov. (VL)	da Costa et al. 2005	"[DSMZ] complete authorship reads da Costa, Rainey and Albuquerque"			516870	
Trueperella	abortisuis		61:1265*	comb. nov. (VP)	(Azuma et al. 2009) Yassin et al. 2011		"2, t"	"Murakami, ATCC BAA-1522, DSM 19515, JCM 14813"	789266	
Trueperella	bernardiae		9:2007	comb. nov. (VP)	(Funke et al. 1995) Yassin et al. 2011 emend. Nouioui et al. 2018		2	"LCDC 89-0504, CCUG 33419, CIP 104252, DSM 9152, LMG 18721, ATCC 51727"	789265	
Trueperella	bialowiezensis		61:1265*	comb. nov. (VP)	(Lehnen et al. 2006) Yassin et al. 2011		"2, t"	"1(W3/01), DSM 17162, NCTC 13354"	798128	
Trueperella	bonasi		61:1265*	comb. nov. (VP)	(Lehnen et al. 2006) Yassin et al. 2011		"2, t"	"2(W106/04), DSM 17163, NCTC 13355"	789263	
Trueperella	pyogenes		61:1265*	comb. nov. (VP)	(Glage 1903) Yassin et al. 2011		"2, ht"	"C-100, LMG 16162, ATCC 19411, CCUG 13230, CIP 103129, DSM 20630, NCTC 5224"	789262	
Trueperella			61:1265*	gen. nov. (VP)	Yassin et al. 2011				518094	
Tsiklinsky	vulgaris		30:225	orthographically incorrect name	Tsilinsky 1899		"1, +"	"ATCC 43649, DSM 43016, DSM 43352, DSM 43796, IFO 13606, JCM 3162, KCC A-0162, KCTC 9076, NBRC 13606, VKM Ac-1195"	798349	782495
Tsiklinsky			30:225	orthographically incorrect name	Tsilinsky 1899				520471	516776
Tsukamurella	carboxydivorans		59:1541*	"sp. nov. (VP), heterotypic syn."	Park et al. 2009 emend. Nouioui et al. 2018	[DSMZ] synonymy: IJSEM 67:8 (List of Changes in Taxonomic Opinion)	2	"Y2, JCM 15482, KCCM 42885, DSM 45557"	787921	782896
Tsukamurella	hominis		68:810*	sp. nov. (VP)	Teng et al. 2018			"DSM 105036, HKU65, JCM 31971"	797557	
Tsukamurella	hongkongensis		66:391*	sp. nov. (VP)	Teng et al. 2016			"HKU52, JCM 30715, DSM 100208"	793718	
Tsukamurella	inchonensis		45:522*	sp. nov. (VP)	Yassin et al. 1995		2	"DSM 44067, IMMIB D-771, ATCC 700082, CIP 104790, JCM 10110"	782888	
Tsukamurella	ocularis		68:810*	sp. nov. (VP)	Teng et al. 2018			"DSM 105034, HKU63, JCM 31969"	797556	
Tsukamurella	paurometabola		9:2007	comb. nov. (VP)	(Steinhaus 1941) Collins et al. 1988 emend. Nouioui et al. 2018	[DSMZ] nom. corrig.: IJSB 48:1073*; <I>Tsukamurella paurometabolum</I> (sic)	"1, +"	"ATCC 8368, DSM 20162, CCUG 35730, CIP 100753, DSMZ 20162, IFO 16120, JCM 10117, NBRC 16120, NCTC 13040, no. 33"	782889	
Tsukamurella	pseudospumae		54:1209*	sp. nov. (VP)	Nam et al. 2004 emend. Teng et al. 2016	[DSMZ] emended description: IJSEM 67:8 (List of Changes in Taxonomic Opinion) // [IJSEM] The online open-access journal in which the name was effectively published does not have continuous page numbers for each volume.	1	"DSM 44118, N1176, NCIMB 13963, JCM 13375"	782891	
Tsukamurella	pulmonis		46:429*	sp. nov. (VP)	Yassin et al. 1996 emend. Teng et al. 2016	[DSMZ] emended description: IJSEM 67:8 (List of Changes in Taxonomic Opinion) // [IJSEM] The online open-access journal in which the name was effectively published does not have continuous page numbers for each volume.	2	"DSM 44142, IMMIB D-1321, CCUG 35732, JCM 10111, ATCC 700081, CIP 104791"	782892	
Tsukamurella	serpentis		66:3329*	sp. nov. (VP)	Tang et al. 2016			"HKU54, JCM 31017, DSM 100915"	794472	
Tsukamurella	sinensis		66:391*	sp. nov. (VP)	Teng et al. 2016			"HKU51, JCM 30714, DSM 100207, HKU 51"	793719	
Tsukamurella	soli		60:1667*	sp. nov. (VP)	Weon et al. 2010		1	"JS18-1, KACC 20764, DSM 45046"	788615	
